detector,perturbation,severity,split,threshold_policy,threshold,precision,recall,f1,iou,accuracy,tp,fp,fn,tn,f1_delta,relative_f1_degradation_pct,iou_delta,relative_iou_degradation_pct,additional_false_positives,relative_fp_increase_pct,fp_generation_rate_pct,latency_ms_per_pair,peak_ram_mb,seed
B2_SSIM,global_illumination_shift,strong,test,frozen_m5_val_f1,0.9,0.06938745519542258,0.5253855118112079,0.12258513982098299,0.0652946466021336,0.6168607845902443,3592273,48178944,3245131,79201380,-0.0020546438449245835,1.6484655095615233,-0.0011671363557827774,1.7561014824441414,167022,0.34787609627458776,0.13112072159590363,150.36485349190798,375.140625,42
B3_CVA,global_illumination_shift,strong,test,frozen_m5_val_f1,0.405,0.10550385538472046,0.2119276555839029,0.14087564689793533,0.07577526842831979,0.8683202192187309,1449035,12285392,5388369,115094932,0.009281073385576433,-7.052778194311172,0.005343780889911401,-7.587204355150496,2169143,21.44216695338361,1.7028870173073196,150.36485349190798,375.140625,42
B1_Pixel_Diff,gaussian_blur,mild,test,frozen_m5_val_f1,0.41,0.110603796607702,0.15200462046706614,0.12804074075648259,0.06839932019045408,0.8945331051945686,1039317,8357440,5798087,119022884,-0.001849325357084708,1.4237619645737802,-0.0010565250301698415,1.5211463150636622,-1207548,-12.624668217043242,-0.9479862839727115,185.92012829708437,442.859375,42
B2_SSIM,gaussian_blur,mild,test,frozen_m5_val_f1,0.9,0.07272060075666639,0.4491848075673165,0.12517589791591283,0.06676674242493742,0.6801573038101196,3071258,39162414,3766146,88217910,0.0005361142500052568,-0.43013092147391047,0.0003049594670210404,-0.4588493619169693,-8849508,-18.431896977588192,-6.947311580083593,185.92012829708437,442.859375,42
B3_CVA,gaussian_blur,mild,test,frozen_m5_val_f1,0.405,0.1094884676855414,0.15967668430884002,0.12990355817269958,0.06946356095184524,0.8910319432616234,1091774,8879815,5745630,118500509,-0.0016910153396593186,1.2850190509569184,-0.0009679265865631531,1.374281050127351,-1236434,-12.222257479032,-0.9706632556532044,185.92012829708437,442.859375,42
B1_Pixel_Diff,gaussian_blur,medium,test,frozen_m5_val_f1,0.41,0.11185057568173368,0.1461028191401298,0.12670261184841483,0.06763614397254591,0.8974001929163933,998964,7932273,5838440,119448051,-0.0031874542651524618,2.4539630785664257,-0.0018197012480780095,2.6199396786516607,-1632715,-17.069702544321018,-1.2817638931425548,191.1660661253336,477.640625,42
B2_SSIM,gaussian_blur,medium,test,frozen_m5_val_f1,0.9,0.07075252002165965,0.4060669809769907,0.12050791606273144,0.06411727779682078,0.6980567052960396,2776444,36465183,4060960,90915141,-0.0041318676031761314,3.3150471556108063,-0.002344505161095606,3.527598954996659,-11546739,-24.04973289759156,-9.064774399537562,191.1660661253336,477.640625,42
B3_CVA,gaussian_blur,medium,test,frozen_m5_val_f1,0.405,0.11055858462023962,0.1535110401550062,0.12854157942295244,0.06868524462505439,0.8939638361334801,1049617,8444146,5787787,118936178,-0.0030529940894064578,2.319999987780447,-0.0017462429133539986,2.47934975447128,-1672103,-16.52888338355452,-1.3126854662420233,191.1660661253336,477.640625,42
B1_Pixel_Diff,gaussian_blur,strong,test,frozen_m5_val_f1,0.41,0.1116281108667427,0.14152447332350115,0.12481096844455591,0.06655913955566757,0.8988904878497124,967660,7700945,5869744,119679379,-0.005079097669011379,3.9103049378468646,-0.0028967056649563533,4.170571469910236,-1864043,-19.48818963494779,-1.4633680787309036,201.6539319374715,477.640625,42
B2_SSIM,gaussian_blur,strong,test,frozen_m5_val_f1,0.9,0.06360388529325832,0.3726048658233446,0.10865952177654917,0.057451063427042925,0.6885877326130867,2547650,37507293,4289754,89873031,-0.015980261889358402,12.821156631812613,-0.009010719530873457,13.557745714674924,-10504629,-21.879209501340107,-8.246665317007672,201.6539319374715,477.640625,42
