detector,perturbation,severity,precision,recall,f1,relative_f1_degradation_pct,iou,relative_iou_degradation_pct,fp,additional_false_positives,fp_generation_rate_pct
B1_Pixel_Diff,control,none,0.1064291406294521,0.16661908525516408,0.1298900661135673,0.0,0.06945584522062392,0.0,9564988,0,0.0
B2_SSIM,control,none,0.07056860456486058,0.533153225990449,0.12463978366590757,0.0,0.06646178295791638,0.0,48011922,0,0.0
B3_CVA,control,none,0.1055735823566442,0.17463806438818008,0.1315945735123589,0.0,0.07043148753840839,0.0,10116249,0,0.0
B1_Pixel_Diff,global_illumination_shift,mild,0.12360859806366647,0.15654450139263382,0.13814051237892871,-6.351868554865295,0.07419491819730883,-6.823144922693576,7588894,-1976094,-1.5513337837011625
B2_SSIM,global_illumination_shift,mild,0.07099691847024626,0.5260291771555403,0.12510826872429115,-0.3758712062910327,0.06672826309771249,-0.40095243903528743,47062905,-949017,-0.7450263668665186
B3_CVA,global_illumination_shift,mild,0.12274720273122458,0.16439835937733094,0.14055198066784755,-6.806821068991422,0.07558801279012296,-7.32133514701442,8033446,-2082803,-1.6351057483571796
B1_Pixel_Diff,global_illumination_shift,medium,0.13416430289153974,0.16144402173690484,0.14654543074565507,-12.822662371674696,0.0790661034678671,-13.836500321487055,7123800,-2441188,-1.9164561082447868
B2_SSIM,global_illumination_shift,medium,0.07047801376807727,0.5222945726184968,0.12419698523640155,0.35526251448969726,0.06621003605330793,0.3787844583824375,47099117,-912805,-0.7165981144780257
B3_CVA,global_illumination_shift,medium,0.13257874878346387,0.16881260782601115,0.14851762556313822,-12.85999232270012,0.08021552222894407,-13.891563322725728,7551831,-2564418,-2.0131978938913675
B1_Pixel_Diff,global_illumination_shift,strong,0.10702342675410889,0.20418802223767968,0.14043764721906016,-8.120390897538506,0.07552188126901921,-8.733658094760413,11648841,2083853,1.6359300514889568
B2_SSIM,global_illumination_shift,strong,0.06938745519542258,0.5253855118112079,0.12258513982098299,1.6484655095615233,0.0652946466021336,1.7561014824441414,48178944,167022,0.13112072159590363
B3_CVA,global_illumination_shift,strong,0.10550385538472046,0.2119276555839029,0.14087564689793533,-7.052778194311172,0.07577526842831979,-7.587204355150496,12285392,2169143,1.7028870173073196
B1_Pixel_Diff,gaussian_blur,mild,0.110603796607702,0.15200462046706614,0.12804074075648259,1.4237619645737802,0.06839932019045408,1.5211463150636622,8357440,-1207548,-0.9479862839727115
B2_SSIM,gaussian_blur,mild,0.07272060075666639,0.4491848075673165,0.12517589791591283,-0.43013092147391047,0.06676674242493742,-0.4588493619169693,39162414,-8849508,-6.947311580083593
B3_CVA,gaussian_blur,mild,0.1094884676855414,0.15967668430884002,0.12990355817269958,1.2850190509569184,0.06946356095184524,1.374281050127351,8879815,-1236434,-0.9706632556532044
B1_Pixel_Diff,gaussian_blur,medium,0.11185057568173368,0.1461028191401298,0.12670261184841483,2.4539630785664257,0.06763614397254591,2.6199396786516607,7932273,-1632715,-1.2817638931425548
B2_SSIM,gaussian_blur,medium,0.07075252002165965,0.4060669809769907,0.12050791606273144,3.3150471556108063,0.06411727779682078,3.527598954996659,36465183,-11546739,-9.064774399537562
B3_CVA,gaussian_blur,medium,0.11055858462023962,0.1535110401550062,0.12854157942295244,2.319999987780447,0.06868524462505439,2.47934975447128,8444146,-1672103,-1.3126854662420233
B1_Pixel_Diff,gaussian_blur,strong,0.1116281108667427,0.14152447332350115,0.12481096844455591,3.9103049378468646,0.06655913955566757,4.170571469910236,7700945,-1864043,-1.4633680787309036
B2_SSIM,gaussian_blur,strong,0.06360388529325832,0.3726048658233446,0.10865952177654917,12.821156631812613,0.057451063427042925,13.557745714674924,37507293,-10504629,-8.246665317007672
B3_CVA,gaussian_blur,strong,0.1101562012904457,0.14858036763660595,0.1265151575060186,3.8598977684009528,0.067529320033143,4.1205540400985345,8206491,-1909758,-1.4992566669872813
B1_Pixel_Diff,geometric_misregistration,mild,0.11242673384017147,0.17290129411688998,0.13625529825079855,-4.900476478059464,0.07310834907963376,-5.258742223073945,9333061,-231927,-0.18207443089876268
B2_SSIM,geometric_misregistration,mild,0.07386886365384106,0.535400862666591,0.12982576227221612,-4.16077311254758,0.06941907318216042,-4.449610125741884,45896691,-2115231,-1.6605633692688675
B3_CVA,geometric_misregistration,mild,0.11142309852912423,0.18119128253939654,0.13798976012923975,-4.859764689522121,0.07410794912643308,-5.219911883899664,9879804,-236445,-0.18562128951720988
B1_Pixel_Diff,geometric_misregistration,medium,0.11715664870056179,0.18651303915930667,0.1439145458399819,-10.79719192240038,0.07753659483588336,-11.63436941785279,9609862,44874,0.035228360700354316
B2_SSIM,geometric_misregistration,medium,0.06967339299911364,0.5472119242917342,0.12360842570355292,0.827470918209525,0.06587560261769983,0.881981063595186,49959177,1947255,1.5286937093989492
B3_CVA,geometric_misregistration,medium,0.11610452405142645,0.195297513500738,0.14563119131570765,-10.666562783480186,0.07853410315881852,-11.504251725468011,10165757,49508,0.03886628518859789
B1_Pixel_Diff,geometric_misregistration,strong,0.1170868057986183,0.1959468827642772,0.14658354961342016,-12.852009394819449,0.07908829641759477,-13.868452923398625,10102751,537763,0.42217116671802474
B2_SSIM,geometric_misregistration,strong,0.06685271765444643,0.5625812077215271,0.11950446622348634,4.120127050433799,0.06354945495855072,4.381958878848845,53691754,5679832,4.4589555291129574
B3_CVA,geometric_misregistration,strong,0.11602696630850555,0.20498525463757883,0.14818013571869215,-12.603530497992455,0.08001865547338263,-13.612048062659582,10678099,561850,0.44108068056099464
B1_Pixel_Diff,localized_occlusion_shadow,mild,0.10396834078581728,0.16889158516887404,0.1287061690811287,0.9114607974742851,0.06877924084104388,0.9741503791809553,9952255,387267,0.3040241913656932
B2_SSIM,localized_occlusion_shadow,mild,0.07033211682199578,0.5340044262413044,0.12429386281852671,0.27753646324362036,0.06626510430109094,0.29592744592781073,48262547,250625,0.19675330704921112
B3_CVA,localized_occlusion_shadow,mild,0.10314055413581853,0.17698354521686885,0.1303292431373911,0.9615368941098111,0.06970705545830401,1.0285627997127338,10522503,406254,0.3189299471400308
B1_Pixel_Diff,localized_occlusion_shadow,medium,0.10113614945797944,0.17343994884608252,0.12776821214100714,1.6335767900102087,0.0682438002439418,1.7450582781508215,10539691,974703,0.765191176621595
B2_SSIM,localized_occlusion_shadow,medium,0.07000355628210521,0.5345328431667925,0.12379469625111753,0.6780238138532638,0.06598142325030258,0.7227607900888913,48554202,542280,0.4257172402858702
B3_CVA,localized_occlusion_shadow,medium,0.10035202848538896,0.18169556749900986,0.12929391368638446,1.7482938426472183,0.06911503342631929,1.8691272300207986,11137354,1021105,0.8016190946413357
B1_Pixel_Diff,localized_occlusion_shadow,strong,0.09721476741941242,0.18169088736017355,0.12665958580800168,2.4870880447016552,0.06761162298558107,2.6552441039119876,11536567,1971579,1.5477892802345203
B2_SSIM,localized_occlusion_shadow,strong,0.06951377115888471,0.5358328979829187,0.1230625932165203,1.2653988983283793,0.06556563515211383,1.3483655808180628,49041045,1029123,0.8079136303657071
B3_CVA,localized_occlusion_shadow,strong,0.09643572349708483,0.1901818292439645,0.1279776630826983,2.7485255152416284,0.06836332054319491,2.9364238460612437,12183761,2067512,1.623101539606698
