method,aggregation_mode,k1,b,R@1,R@5,R@10,MRR,latency_mean_ms,latency_p50_ms,latency_p95_ms,peak_rss_mb,faiss_search_ms,model_load_time_s
BM25 (Lexical),combined_document,1.5,0.75,0.8565416285452881,0.9637694419030192,0.9857273559011894,0.9027811693407404,1.463609605016245,1.3437709985737456,2.574191048552163,357.421875,,
CLIP ViT-B/32,,,,0.0545288197621226,0.17712717291857275,0.2788655077767612,0.13074806730165667,7.178227525164402,7.16220850154059,7.740650300547713,1260.578125,0.052968944855820155,2.089761625000392
CLIP + Prompt Ensemble,,,,0.05141811527904849,0.16999085086916743,0.28014638609332115,0.12680480135818797,13.965330060163978,13.693167000383255,17.821585200726986,669.15625,,
