sample_id,method,threshold_policy,threshold_value,precision,recall,f1,iou,tp,fp,fn,tn,gt_changed_pixels,pred_changed_pixels
test_108,B3_CVA,validation_f1,0.4050000011920929,0.0,0.0,0.0,0.0,0,11347,0,1037229,0,11347
test_109,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.009792030293169246,0.1411212960989128,0.01831334633525596,0.00924129266420046,662,66944,4029,976941,4691,67606
test_109,B2_SSIM,validation_f1,0.8999999761581421,0.002891426011109273,0.29439351950543596,0.005726607368704775,0.0028715257345678885,1381,476238,3310,567647,4691,477619
test_109,B3_CVA,validation_f1,0.4050000011920929,0.009274896868684072,0.1428266894052441,0.017418658763275228,0.008785848227750167,670,71568,4021,972317,4691,72238
test_11,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.019117110543597226,0.023319982198486872,0.021010425020048115,0.01061674365831915,262,13443,10973,1023898,11235,13705
test_11,B2_SSIM,validation_f1,0.8999999761581421,0.029234447415572462,0.4777926123720516,0.05509766286553009,0.028329269708580053,5368,178251,5867,859090,11235,183619
test_11,B3_CVA,validation_f1,0.4050000011920929,0.018499486125385406,0.02403204272363151,0.020905923344947737,0.01056338028169014,270,14325,10965,1023016,11235,14595
test_110,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.04517892575171017,0.37054739956754296,0.08053824082319185,0.04195876288659794,3256,68813,5531,970976,8787,72069
test_110,B2_SSIM,validation_f1,0.8999999761581421,0.010730365805313667,0.637646523273017,0.021105565495809397,0.010665331676016042,5603,516560,3184,523229,8787,522163
test_110,B3_CVA,validation_f1,0.4050000011920929,0.04390610231377779,0.3859110048935928,0.07884212973727041,0.041038860448510815,3391,73842,5396,965947,8787,77233
test_111,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.05210779206642927,0.10779772244740397,0.07025525446826354,0.03640650123853809,3351,60958,27735,956532,31086,64309
test_111,B2_SSIM,validation_f1,0.8999999761581421,0.0312703333077516,0.6029402303287653,0.05945704170843431,0.030639384433302982,18743,580643,12343,436847,31086,599386
test_111,B3_CVA,validation_f1,0.4050000011920929,0.0514518963989483,0.11394196744515216,0.0708917509782141,0.036748456710068995,3542,65299,27544,952191,31086,68841
test_112,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.03292513164000242,0.18244829513694802,0.05578342904019688,0.02869198312236287,1632,47935,7313,991696,8945,49567
test_112,B2_SSIM,validation_f1,0.8999999761581421,0.011993502701482504,0.5464505310229179,0.02347184507045635,0.011875290018974225,4888,402666,4057,636965,8945,407554
test_112,B3_CVA,validation_f1,0.4050000011920929,0.03363937387116195,0.19988820570150923,0.05758732305908498,0.029647316320947123,1788,51364,7157,988267,8945,53152
test_113,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.04824789892231505,0.13721885041056767,0.07139307987721913,0.03701795276803945,7687,151636,48333,840920,56020,159323
test_113,B2_SSIM,validation_f1,0.8999999761581421,0.06340132931575888,0.4634951802927526,0.11154452544710174,0.05906653715174857,25965,383569,30055,608987,56020,409534
test_113,B3_CVA,validation_f1,0.4050000011920929,0.04925925704408572,0.147018921813638,0.07379366266906194,0.038310362311087955,8236,158961,47784,833595,56020,167197
test_114,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.08489404586806124,0.22397240586375394,0.12312067943906775,0.06559861259607856,7792,83993,26998,929793,34790,91785
test_114,B2_SSIM,validation_f1,0.8999999761581421,0.039382342754299145,0.5327392929002587,0.07334287020163947,0.038067422099808366,18534,452083,16256,561703,34790,470617
test_114,B3_CVA,validation_f1,0.4050000011920929,0.08256662846049792,0.22983615981603908,0.12148929219876475,0.06467319653501784,7996,88847,26794,924939,34790,96843
test_115,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.2602062741727546,0.3080760318329379,0.2821249775261267,0.16422904683708878,55706,158378,125113,709379,180819,214084
