method,threshold_source,threshold_value,precision,recall,f1,iou,accuracy,tp,fp,fn,tn,total_pixels,gt_changed_pixels,pred_changed_pixels,gt_changed_ratio,pred_changed_ratio,mean_pair_latency_ms,p50_pair_latency_ms,p95_pair_latency_ms,total_runtime_s,peak_rss_mb
B1_Pixel_Diff,Validation F1 (Frozen),0.4099999964237213,0.1064291406294521,0.16661908525516408,0.1298900661135673,0.06945584522062392,0.8862806707620621,1139242,9564988,5698162,117815336,134217728,6837404,10704230,0.05094262957572937,0.07975272834300995,87.87565590620261,87.78275000076974,94.26233310005044,19.164094708001358,411.96875
B1_Pixel_Diff,Validation Otsu (Secondary),0.236328125,0.06752980209244858,0.3810596828854928,0.11472798998814657,0.06085487366219649,0.7004207670688629,2605459,35976899,4231945,91403425,134217728,6837404,38582358,0.05094262957572937,0.28746096789836884,87.87565590620261,87.78275000076974,94.26233310005044,19.164094708001358,411.96875
B2_SSIM,Validation F1 (Frozen),0.8999999761581421,0.07056860456486058,0.533153225990449,0.12463978366590757,0.06646178295791638,0.6185009032487869,3645384,48011922,3192020,79368402,134217728,6837404,51657306,0.05094262957572937,0.38487692177295685,136.27754329661457,135.7895834989904,144.46711470009177,19.164099665998947,411.96875
B2_SSIM,Validation Otsu (Secondary),0.705078125,0.06169620872463146,0.8542964552043436,0.11508138544892708,0.06105376887921274,0.3307040333747864,5841170,88835150,996234,38545174,134217728,6837404,94676320,0.05094262957572937,0.7053935527801514,136.27754329661457,135.7895834989904,144.46711470009177,19.164099665998947,411.96875
B3_CVA,Validation F1 (Frozen),0.4050000011920929,0.1055735823566442,0.17463806438818008,0.1315945735123589,0.07043148753840839,0.88258196413517,1194071,10116249,5643333,117264075,134217728,6837404,11310320,0.05094262957572937,0.08426845073699951,149.7140416256002,148.91999999963446,158.43687775013677,19.164099833004002,411.96875
B3_CVA,Validation Otsu (Secondary),0.240234375,0.06827962133633608,0.3815570938911903,0.11583124723781596,0.06147604723197314,0.7032571136951447,2608860,35599612,4228544,91780712,134217728,6837404,38208472,0.05094262957572937,0.2846753001213074,149.7140416256002,148.91999999963446,158.43687775013677,19.164099833004002,411.96875
